iter	Passed	Remaining
0	58	58097
1	58	29144
2	58	19485
3	58	14656
4	59	11758
5	59	9826
6	59	8446
7	59	7410
8	59	6604
9	60	5960
10	60	5433
11	60	4994
12	60	4622
13	61	4303
14	61	4027
15	61	3785
16	61	3572
17	62	3382
18	62	3213
19	62	3060
20	62	2921
21	62	2795
22	63	2681
23	63	2575
24	63	2477
25	64	2405
26	64	2323
27	64	2244
28	64	2172
29	65	2109
30	65	2046
31	65	1986
32	65	1931
33	66	1878
34	66	1828
35	66	1781
36	66	1735
37	66	1693
38	67	1653
39	67	1615
40	67	1579
41	67	1545
42	67	1513
43	68	1481
44	68	1452
45	68	1423
46	68	1396
47	69	1370
48	69	1345
49	69	1321
50	69	1297
51	69	1275
52	70	1254
53	70	1233
54	70	1213
55	70	1194
56	71	1175
57	71	1157
58	71	1140
59	71	1123
60	71	1107
61	72	1091
62	72	1076
63	72	1061
64	72	1047
65	73	1033
66	73	1020
67	73	1005
68	73	992
69	73	980
70	73	968
71	74	956
72	74	945
73	74	933
74	74	923
75	75	912
76	75	906
77	76	904
78	77	898
79	77	892
80	77	884
81	78	877
82	78	869
83	79	862
84	79	853
85	79	846
86	79	838
87	80	831
88	80	825
89	81	819
90	81	813
91	81	806
92	82	800
93	82	792
94	82	785
95	82	778
96	82	771
97	83	764
98	83	758
99	83	752
100	83	745
101	83	738
102	84	731
103	84	725
104	84	719
105	84	713
106	84	708
107	85	702
108	85	696
109	85	691
110	85	686
111	85	680
112	86	675
113	86	670
114	86	665
115	86	660
116	86	655
117	87	650
118	87	645
119	87	640
120	87	636
121	87	631
122	87	626
123	88	622
124	88	617
125	88	613
126	88	609
127	88	604
128	88	600
129	89	596
130	89	593
131	89	589
132	89	585
133	90	581
134	90	578
135	90	574
136	90	570
137	90	567
138	90	563
139	91	560
140	91	556
141	91	553
142	91	550
143	91	546
144	92	543
145	92	540
146	92	537
147	92	534
148	93	531
149	93	528
150	93	525
151	93	522
152	93	519
153	93	516
154	94	513
155	94	510
156	94	508
157	94	505
158	95	502
159	95	499
160	95	497
161	95	495
162	95	492
163	96	489
164	96	487
165	96	484
166	96	482
167	96	479
168	97	477
169	97	474
170	97	472
171	97	470
172	97	467
173	98	465
174	98	463
175	98	460
176	98	458
177	98	456
178	98	454
179	99	451
180	99	449
181	99	447
182	99	444
183	99	442
184	100	440
185	100	438
186	100	436
187	100	434
188	100	432
189	101	430
190	101	428
191	101	426
192	101	424
193	101	423
194	102	421
195	102	419
196	102	417
197	102	415
198	102	414
199	103	412
200	103	410
201	103	408
202	103	407
203	103	405
204	104	403
205	104	402
206	104	400
207	104	398
208	105	397
209	105	395
210	105	394
211	105	392
212	105	391
213	106	389
214	106	388
215	106	386
216	106	384
217	106	383
218	107	381
219	107	380
220	107	378
221	107	377
222	107	375
223	108	374
224	108	372
225	108	371
226	108	369
227	108	368
228	109	367
229	109	365
230	109	364
231	109	362
232	109	361
233	109	360
234	110	358
235	110	357
236	110	355
237	110	354
238	110	353
239	111	351
240	111	350
241	111	349
242	111	347
243	111	346
244	112	345
245	112	344
246	112	342
247	112	341
248	112	340
249	112	338
250	113	337
251	113	336
252	113	335
253	113	334
254	113	332
255	114	331
256	114	330
257	114	329
258	114	328
259	114	327
260	115	326
261	115	324
262	115	323
263	115	322
264	115	321
265	116	320
266	116	319
267	116	318
268	116	317
269	116	315
270	117	314
271	117	313
272	117	312
273	117	311
274	117	310
275	118	309
276	118	308
277	118	307
278	118	306
279	118	305
280	118	304
281	119	303
282	119	302
283	119	301
284	119	300
285	119	299
286	120	298
287	120	297
288	120	296
289	120	295
290	120	294
291	121	293
292	121	292
293	121	291
294	121	290
295	121	290
296	122	289
297	122	288
298	122	287
299	122	286
300	122	285
301	123	284
302	123	283
303	123	282
304	123	281
305	123	281
306	124	280
307	124	279
308	124	278
309	124	277
310	124	276
311	125	275
312	125	274
313	125	274
314	125	273
315	125	272
316	126	271
317	126	270
318	126	269
319	126	269
320	126	268
321	127	267
322	127	266
323	127	265
324	127	265
325	127	264
326	128	263
327	128	262
328	128	261
329	128	261
330	128	260
331	128	259
332	129	258
333	129	257
334	129	257
335	129	256
336	129	255
337	130	254
338	130	254
339	130	253
340	130	252
341	130	251
342	131	251
343	131	250
344	131	249
345	131	248
346	131	248
347	132	247
348	132	246
349	132	246
350	132	245
351	132	244
352	133	243
