iter	Passed	Remaining
0	59	59642
1	59	29932
2	60	20054
3	60	15112
4	60	12134
5	61	10141
6	61	8720
7	61	7647
8	61	6823
9	62	6157
10	62	5610
11	62	5154
12	62	4767
13	63	4438
14	63	4151
15	63	3900
16	63	3679
17	63	3481
18	64	3306
19	64	3147
20	64	3004
21	64	2873
22	64	2754
23	65	2645
24	65	2545
25	65	2452
26	65	2366
27	65	2285
28	66	2211
29	66	2142
30	67	2095
31	67	2033
32	67	1975
33	67	1921
34	67	1870
35	68	1823
36	68	1777
37	68	1734
38	68	1693
39	68	1654
40	69	1617
41	69	1581
42	69	1547
43	69	1514
44	69	1483
45	70	1453
46	70	1424
47	70	1398
48	70	1372
49	70	1347
50	71	1324
51	71	1302
52	71	1279
53	71	1258
54	72	1237
55	72	1218
56	72	1199
57	72	1180
58	72	1163
59	73	1147
60	73	1131
61	73	1114
62	73	1099
63	74	1083
64	74	1068
65	74	1054
66	74	1040
67	74	1027
68	75	1014
69	75	1003
70	75	991
71	76	980
72	76	968
73	76	957
74	76	946
75	76	935
76	77	925
77	77	915
78	77	905
79	77	895
80	78	885
81	78	876
82	78	865
83	78	856
84	78	847
85	78	839
86	79	830
87	79	822
88	79	814
89	79	806
90	80	799
91	80	791
92	80	783
93	80	776
94	80	769
95	80	762
96	81	755
97	81	749
98	81	742
99	81	735
100	81	729
101	82	723
102	82	717
103	82	711
104	82	705
105	82	699
106	83	694
107	83	688
108	83	683
109	83	678
110	84	673
111	84	668
112	84	663
113	84	658
114	84	653
115	85	648
116	85	643
117	85	638
118	85	633
119	85	629
120	85	624
121	86	619
122	86	615
123	86	611
124	86	607
125	87	603
126	87	599
127	87	595
128	87	592
129	88	589
130	88	585
131	88	581
132	88	577
133	88	574
134	89	570
135	89	566
136	89	563
137	89	560
138	90	557
139	90	554
140	90	551
141	90	548
142	91	545
143	91	542
144	91	539
145	91	536
146	91	533
147	92	530
148	92	527
149	92	524
150	92	521
151	92	518
152	93	515
153	93	512
154	93	510
155	93	507
156	94	504
157	94	502
158	94	499
159	94	496
160	94	493
161	94	491
162	95	488
163	95	485
164	95	483
165	95	480
166	95	478
167	96	475
168	96	473
169	96	471
170	96	469
171	96	466
172	97	464
173	97	462
174	97	460
175	97	457
176	97	455
177	98	453
178	98	451
179	98	448
180	98	446
181	98	444
182	99	442
183	99	440
184	99	438
185	99	436
186	99	434
187	100	432
188	100	430
189	100	428
190	100	426
191	101	425
192	101	423
193	101	421
194	101	419
195	101	418
196	102	416
197	102	414
198	102	412
199	102	411
200	103	409
201	103	407
202	103	406
203	103	404
204	103	402
205	104	401
206	104	399
207	104	398
208	104	397
209	105	395
210	105	393
211	105	392
212	105	391
213	106	389
214	106	388
215	106	386
216	106	385
217	107	383
218	107	382
219	107	380
220	107	379
221	107	377
222	108	376
223	108	375
224	108	373
225	108	372
226	108	370
227	109	369
228	109	367
229	109	366
230	109	364
231	109	363
232	109	361
233	110	360
234	110	359
235	110	357
236	110	356
237	110	355
238	111	353
239	111	352
240	111	351
241	111	349
242	111	348
243	112	347
244	112	346
245	112	344
246	112	343
247	112	342
248	113	341
249	113	339
250	113	338
251	113	337
252	113	336
253	114	335
254	114	334
255	114	332
256	114	331
257	114	330
258	115	329
259	115	328
260	115	326
261	115	325
262	115	324
263	116	323
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	119	310
277	119	309
278	119	308
279	119	307
280	120	307
281	120	306
282	120	305
283	120	304
284	121	303
285	121	302
286	121	301
287	121	301
288	121	300
289	122	299
290	122	298
291	122	297
292	122	296
293	123	295
294	123	294
295	123	293
296	123	292
297	123	291
298	124	290
299	124	289
300	124	289
301	124	288
302	124	287
303	125	286
304	125	285
305	125	284
306	125	283
307	125	282
308	126	282
309	126	281
310	126	280
311	126	279
312	126	278
313	127	277
314	127	276
315	127	276
316	127	275
317	127	274
318	128	273
319	128	272
320	128	271
321	128	271
322	128	270
323	129	269
324	129	268
325	129	267
326	129	266
327	129	266
328	130	265
329	130	264
330	130	263
331	130	262
332	130	262
333	130	261
334	131	260
335	131	259
336	131	258
337	131	258
338	131	257
339	132	256
340	132	255
341	132	254
342	132	254
343	132	253
344	133	252
345	133	252
346	133	251
347	133	250
348	133	249
349	134	249
350	134	248
351	134	247
352	134	247
353	135	246
354	135	245
355	135	245
356	135	244
357	136	244
358	136	243
359	136	242
360	136	242
361	136	241
362	137	240
363	137	240
364	137	239
365	137	238
366	137	237
367	138	237
368	138	236
369	138	235
370	138	235
371	138	234
372	139	233
373	139	233
374	139	232
375	139	231
376	139	231
